,mae,mse,rmse,mape,mspe,exp_name,model_name,features_powerset,pred_len,dataset
0,0.26161146,0.11507864,0.33923244,0.1907109,0.056148298,long_term_forecast_96_96powerset_HUFL_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'LUFL', 'LULL']",96,ETTh1
0,0.26351672,0.116427235,0.34121436,0.19362736,0.058771618,long_term_forecast_96_96powerset_HUFL_MUFL_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'MUFL', 'LUFL', 'LULL']",96,ETTh1
0,0.26775613,0.116949596,0.34197894,0.19069064,0.054389343,long_term_forecast_192_96powerset_LUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['LUFL', 'LULL']",192,ETTh1
0,0.2686523,0.11861398,0.3444038,0.19405632,0.055796523,long_term_forecast_192_96powerset_MUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['MUFL', 'LULL']",192,ETTh1
0,0.2704083,0.1192854,0.34537718,0.19655257,0.057045143,long_term_forecast_96_96powerset_MUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['MUFL', 'LULL']",96,ETTh1
0,0.2717404,0.121099055,0.3479929,0.19959308,0.061051816,long_term_forecast_192_96powerset_HUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'LULL']",192,ETTh1
0,0.2659441,0.1221973,0.3495673,0.18924262,0.056043018,long_term_forecast_192_96powerset_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['LULL'],192,ETTh1
0,0.28330547,0.12766775,0.35730624,0.20226936,0.059797075,long_term_forecast_96_96powerset_LUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['LUFL', 'LULL']",96,ETTh1
0,0.27647743,0.12839082,0.35831666,0.1974781,0.060025044,long_term_forecast_192_96powerset_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['LUFL', 'LULL']",192,ETTh1
0,0.28183398,0.12859282,0.3585984,0.20738044,0.065272,long_term_forecast_192_96powerset_HUFL_MUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'MUFL', 'LULL']",192,ETTh1
0,0.2933404,0.12937589,0.3596886,0.23253983,0.098018676,long_term_forecast_96_96powerset_LUFL_LULL.csv_LSTM_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,LSTM,"['LUFL', 'LULL']",96,ETTh1
0,0.2842284,0.13136862,0.3624481,0.20830533,0.06478927,long_term_forecast_96_96powerset_HUFL_MUFL_LUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'MUFL', 'LUFL']",96,ETTh1
0,0.28408366,0.13157347,0.36273056,0.19871475,0.057870217,long_term_forecast_336_96powerset_empty.csv_MLP_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['empty'],336,ETTh1
0,0.29243472,0.13385111,0.36585668,0.21345998,0.06608014,long_term_forecast_192_96powerset_HUFL_MUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'MUFL', 'LULL']",192,ETTh1
0,0.28987187,0.13543287,0.36801204,0.20557338,0.06266114,long_term_forecast_336_96powerset_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['LUFL', 'LULL']",336,ETTh1
0,0.2943431,0.13561006,0.36825272,0.2158644,0.06809247,long_term_forecast_192_96powerset_HUFL_LUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'LUFL', 'LULL']",192,ETTh1
0,0.2954513,0.13649872,0.36945733,0.21658719,0.06842908,long_term_forecast_192_96powerset_MUFL_LUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['MUFL', 'LUFL', 'LULL']",192,ETTh1
0,0.29576758,0.13698557,0.3701156,0.21638672,0.06735408,long_term_forecast_96_96powerset_HUFL_MUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'MUFL']",96,ETTh1
0,0.29010525,0.13768038,0.37105307,0.20971586,0.06547917,long_term_forecast_192_96powerset_MUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['MUFL', 'LULL']",192,ETTh1
0,0.3038757,0.13877523,0.37252548,0.21806097,0.06668632,long_term_forecast_96_96powerset_LUFL.csv_LSTM_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,LSTM,['LUFL'],96,ETTh1
0,0.29724973,0.13879415,0.37255087,0.22117603,0.0721014,long_term_forecast_96_96powerset_HUFL_LUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'LUFL', 'LULL']",96,ETTh1
0,0.29394016,0.14019983,0.37443268,0.2180631,0.07895223,long_term_forecast_192_96powerset_LUFL.csv_Transformer_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,Transformer,['LUFL'],192,ETTh1
0,0.2974232,0.14093366,0.37541133,0.21517777,0.06722416,long_term_forecast_192_96powerset_HUFL_LUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'LUFL']",192,ETTh1
0,0.2968667,0.14137077,0.37599304,0.2139448,0.0663952,long_term_forecast_192_96powerset_MUFL_LUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['MUFL', 'LUFL']",192,ETTh1
0,0.30519813,0.14179306,0.3765542,0.21924628,0.06626472,long_term_forecast_96_96powerset_HUFL_MUFL_LUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'MUFL', 'LUFL']",96,ETTh1
0,0.30369833,0.14358652,0.37892812,0.2256275,0.07431149,long_term_forecast_96_96powerset_MUFL_LUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['MUFL', 'LUFL', 'LULL']",96,ETTh1
0,0.30067316,0.14378686,0.37919238,0.21356837,0.06671416,long_term_forecast_336_96powerset_LUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['LUFL'],336,ETTh1
