,mae,mse,rmse,mape,mspe,exp_name,model_name,pred_len,lookback_len,pwindow,pconstructor,dataset
0,0.026876701,0.0013042624,0.036114573,0.6075886,1.6977489,long_term_forecast_96_96Weather_w751_ipsmoothrandomwalk.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,751,ipsmoothrandomwalk.csv,Weather
0,0.026669899,0.001305675,0.036134124,0.6240817,1.7145742,long_term_forecast_ETTh1_96_96Weather_w751_pfarm.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,751,pfarm.csv,Weather
0,0.026497941,0.0013074639,0.03615887,0.6260776,1.8229436,long_term_forecast_96_96Weather_w501_iprandomwalk.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,501,iprandomwalk.csv,Weather
0,0.02654903,0.0013083759,0.036171477,0.647523,2.0878546,long_term_forecast_96_96Weather_w751_prollcov.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,751,prollcov.csv,Weather
0,0.026422713,0.0013087325,0.03617641,0.6319362,1.8910651,long_term_forecast_96_96Weather_w1001_psmoothrandomwalk.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1001,psmoothrandomwalk.csv,Weather
0,0.026656665,0.0013111434,0.036209714,0.6269885,1.7514635,long_term_forecast_ETTh1_96_96Weather_w1251_pentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1251,pentropy.csv,Weather
0,0.026639484,0.0013122847,0.03622547,0.6243538,1.7187479,long_term_forecast_ETTh1_96_96Weather_w1001_ipfarm.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1001,ipfarm.csv,Weather
0,0.026936488,0.0013138424,0.036246963,0.6098372,1.7083867,long_term_forecast_96_96Weather_w1251_ipsmoothrandomwalk.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1251,ipsmoothrandomwalk.csv,Weather
0,0.026755944,0.0013148302,0.036260586,0.64745975,2.069897,long_term_forecast_96_96Weather_w1501_pfarm.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,1501,pfarm.csv,Weather
0,0.026675962,0.0013148849,0.036261342,0.6279191,1.7594011,long_term_forecast_ETTh1_96_96Weather_w751_pentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,751,pentropy.csv,Weather
0,0.02667103,0.0013153251,0.03626741,0.6496212,2.1040545,long_term_forecast_96_96Weather_w501_pfarm.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,501,pfarm.csv,Weather
0,0.026706181,0.0013154194,0.03626871,0.62111276,1.6729233,long_term_forecast_ETTh1_96_96Weather_w501_ipentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,501,ipentropy.csv,Weather
0,0.026654022,0.0013155619,0.036270674,0.6320796,1.8991647,long_term_forecast_96_96Weather_w1501_ipsmoothrandomwalk.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1501,ipsmoothrandomwalk.csv,Weather
0,0.026740013,0.001315564,0.036270704,0.6279209,1.7575704,long_term_forecast_ETTh1_96_96Weather_w501_pfarm.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,501,pfarm.csv,Weather
0,0.02670526,0.0013171938,0.036293164,0.6312328,1.7815719,long_term_forecast_ETTh1_96_96Weather_w1501_ipentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1501,ipentropy.csv,Weather
0,0.026720228,0.0013172443,0.03629386,0.6295383,1.7667613,long_term_forecast_ETTh1_96_96Weather_w1251_ipentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1251,ipentropy.csv,Weather
0,0.026807455,0.0013180161,0.036304493,0.63908964,1.8876686,long_term_forecast_ETTh1_96_96Weather_w1001_pfarm.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1001,pfarm.csv,Weather
0,0.026700076,0.001318031,0.036304697,0.65093553,2.1035511,long_term_forecast_96_96Weather_w1251_ipfarm.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,1251,ipfarm.csv,Weather
0,0.027019495,0.0013188036,0.036315337,0.6181355,1.7871999,long_term_forecast_96_96Weather_w1501_psmoothrandomwalk.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1501,psmoothrandomwalk.csv,Weather
0,0.02692907,0.0013191027,0.036319453,0.6393109,1.8985554,long_term_forecast_ETTh1_96_96Weather_w501_prollcorr.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,501,prollcorr.csv,Weather
0,0.026840305,0.0013193506,0.036322866,0.64111596,1.9437184,long_term_forecast_ETTh1_96_96Weather_w1501_prollcorr.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1501,prollcorr.csv,Weather
0,0.026996646,0.0013195747,0.03632595,0.6185371,1.7869518,long_term_forecast_96_96Weather_w501_iprandomwalk.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,501,iprandomwalk.csv,Weather
0,0.026908314,0.0013197099,0.036327813,0.64686376,1.9939603,long_term_forecast_96_96Weather_w751_ipmutual_info.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,751,ipmutual_info.csv,Weather
