model_name,dataset,pred_len,improvement,pconstructor,pwindow,mse,mse_identity
PatchTST,ETTm1,720,-5.934922790391166,pmutual_info.csv,501,0.085586,0.08079111
Autoformer,ETTm1,720,-3.3577191265752044,ipfarm.csv,1251,0.1027703,0.099431664
Crossformer,ETTm1,192,28.772947411983647,prollcov.csv,1501,0.21066341,0.2957632
Crossformer,ETTm1,336,13.823448617441853,prollcov.csv,1501,0.4363716,0.5063693
Crossformer,ETTm1,720,11.663181821756607,prollcov.csv,1501,0.83118886,0.9409314
PatchTST,ETTm2,96,1.0632205587902153,prollcorr.csv,1001,0.063732125,0.06441702
TimeXer,ETTm2,96,2.5469612053965958,pentropy.csv,1251,0.06609039,0.06781768
iTransformer,ETTm2,96,10.07635541076151,iprollcov.csv,751,0.06817696,0.0758165
Crossformer,ETTm2,96,56.0209425402727,iprollcorr.csv,501,0.097761944,0.22229204
PatchTST,ETTm2,192,1.2441884476586391,prollcorr.csv,1001,0.10129113,0.10256726
TimeXer,ETTm2,192,1.8660315609172282,pentropy.csv,1251,0.10171682,0.10365098
iTransformer,ETTm2,192,12.906548738337117,iprollcorr.csv,1501,0.10467019,0.12018147
Autoformer,ETTm2,96,8.066759331346887,iprollcov.csv,751,0.11276945,0.1226645
PatchTST,ETTm2,336,0.4758601914624862,prollcorr.csv,1001,0.13241227,0.13304538
Crossformer,ETTm2,192,76.64515573919086,iprollcorr.csv,501,0.13327394,0.57064795
TimeXer,ETTm2,336,1.1948325080654525,pentropy.csv,1251,0.13404407,0.13566504
iTransformer,ETTm2,336,10.459055664877889,iprollcorr.csv,1501,0.1407727,0.15721601
Autoformer,ETTm2,336,2.5013813412293207,iprollcov.csv,751,0.14852338,0.15233383
Autoformer,ETTm2,192,3.1458174078412346,iprollcov.csv,751,0.15124446,0.15615687
iTransformer,ETTm2,720,4.8127238921235955,iprollcorr.csv,1501,0.18361874,0.19290261
PatchTST,ETTm2,720,0.5728027474434827,prollcorr.csv,1001,0.18760371,0.1886845
Autoformer,ETTm2,720,9.737857168455047,iprollcov.csv,751,0.18789363,0.20816438
TimeXer,ETTm2,720,-0.6812431408581769,pentropy.csv,1251,0.1899477,0.18866245
Crossformer,ETTm2,336,54.03787248956174,iprollcorr.csv,501,0.38644266,0.84078497
Crossformer,ETTm2,720,32.00797495330197,iprollcorr.csv,501,1.0024513,1.474366
iTransformer,TrafficL,96,5.5819579648182005,iprollcorr.csv,501,0.14766572,0.15639566
iTransformer,TrafficL,192,0.3404493867602689,iprollcorr.csv,501,0.15498559,0.15551504
TimeXer,TrafficL,96,2.6616551084587616,iprollcorr.csv,501,0.16395408,0.1684373
Autoformer,TrafficL,96,6.73451830057745,pfarm.csv,751,0.23485291,0.25181118
iTransformer,Weather,96,9.138806592823856,ipmutual_info.csv,1251,0.0012668977,0.0013943221
PatchTST,Weather,96,20.05625917243608,iprollcorr.csv,1501,0.0012774419,0.0015979261
TimeXer,Weather,96,2.78232840067544,ipmutual_info.csv,501,0.0012973044,0.0013344327
Crossformer,Weather,96,76.64050135934976,iprollcov.csv,1501,0.0014183077,0.006071653
iTransformer,Weather,192,5.189036141350911,prollcorr.csv,1001,0.001500696,0.0015828296
TimeXer,Weather,192,1.6122714177050186,ipmutual_info.csv,501,0.0015798458,0.0016057346
TimeXer,Weather,336,1.6270353552899377,ipmutual_info.csv,501,0.00168566,0.0017135399
PatchTST,Weather,192,1.4844253039244684,iprollcorr.csv,1501,0.0017619546,0.0017885036
iTransformer,Weather,336,-3.054920561582796,ipmutual_info.csv,1251,0.001765655,0.0017133146
PatchTST,Weather,336,-1.519346651767878,iprollcorr.csv,1501,0.001920984,0.0018922344
Crossformer,Weather,336,-6.693367068947159,iprollcov.csv,1501,0.0021465423,0.0020118798
TimeXer,Weather,720,0.9295636658201258,ipmutual_info.csv,501,0.0021720678,0.002192448
iTransformer,Weather,720,-0.18027861588060956,ipmutual_info.csv,1251,0.0022019492,0.0021979867
PatchTST,Weather,720,-0.9323069439287293,iprollcorr.csv,1501,0.0022881897,0.0022670538
Crossformer,Weather,192,-5.2866488984416815,iprollcov.csv,1501,0.0039732447,0.0037737403
Crossformer,Weather,720,-46.72008479065816,iprollcov.csv,1501,0.0041828137,0.0028508801
Autoformer,Weather,720,-5.6965608454587295,prollcorr.csv,1001,0.0048205485,0.004560743
Autoformer,Weather,96,34.942646644004434,prollcorr.csv,1001,0.005191636,0.007980091
Autoformer,Weather,336,-101.38966769954688,prollcorr.csv,1001,0.011217971,0.0055702813
Autoformer,Weather,192,-116.73517159640723,prollcorr.csv,1001,0.016110543,0.007433285
