dataset,pred_len,Autoformer,Crossformer,PatchTST,TimeXer,iTransformer
ECL,96,3.244e-01/3.708e-01(12.5%↑),,3.061e-01/3.129e-01(2.2%↑),2.659e-01/2.688e-01(1.1%↑),2.730e-01/2.788e-01(2.1%↑)
ETTh1,96,8.070e-02/1.164e-01(30.7%↑),1.689e-01/3.711e-01(54.5%↑),5.587e-02/5.677e-02(1.6%↑),5.529e-02/5.664e-02(2.4%↑),5.704e-02/5.869e-02(2.8%↑)
ETTh2,96,1.474e-01/1.967e-01(25.1%↑),1.783e-01/5.320e-01(66.5%↑),1.358e-01/1.364e-01(0.4%↑),1.315e-01/1.443e-01(8.9%↑),1.320e-01/1.371e-01(3.7%↑)
ETTm1,96,5.468e-02/5.859e-02(6.7%↑),5.433e-02/7.963e-02(31.8%↑),2.922e-02/2.941e-02(0.6%↑),2.827e-02/2.850e-02(0.8%↑),2.911e-02/3.040e-02(4.2%↑)
ETTm2,96,1.128e-01/1.227e-01(8.1%↑),9.776e-02/2.223e-01(56.0%↑),6.373e-02/6.442e-02(1.1%↑),6.609e-02/6.782e-02(2.5%↑),6.818e-02/7.582e-02(10.1%↑)
TrafficL,96,2.349e-01/2.518e-01(6.7%↑),,,1.640e-01/1.684e-01(2.7%↑),1.477e-01/1.564e-01(5.6%↑)
Weather,96,5.192e-03/7.980e-03(34.9%↑),1.418e-03/6.072e-03(76.6%↑),1.277e-03/1.598e-03(20.1%↑),1.297e-03/1.334e-03(2.8%↑),1.256e-03/1.394e-03(9.9%↑)
