model_name,pred_len,dataset,mse,pwindow,pconstructor,mse_identity,mse_diff,improvement
iTransformer,192,Weather,0.001500696,1001,prollcorr.csv,0.0015828296,8.213360000000006e-05,5.189036141350911
iTransformer,96,Weather,0.0013234564,751,ipmutual,0.0013943221,7.086570000000006e-05,5.0824483094688135
TimeXer,96,ETTh2,0.13698012,1251,prollcov.csv,0.14430724,0.0073271199999999925,5.077444485806805
iTransformer,96,Weather,0.0013238742,1001,ipentropy.csv,0.0013943221,7.044790000000005e-05,5.052483927494232
iTransformer,192,ETTh2,0.18421547,1001,pmutual,0.19396114,0.009745670000000012,5.024547700637361
iTransformer,96,Weather,0.001324808,1001,pentropy.csv,0.0013943221,6.951409999999994e-05,4.985512314550557
iTransformer,96,Weather,0.0013254612,1001,pmutual,0.0013943221,6.886089999999989e-05,4.938665176432325
iTransformer,192,ETTm2,0.11424929,1501,prollcov.csv,0.12018147,0.005932179999999995,4.936018838844287
iTransformer,96,Weather,0.0013257765,751,ipentropy.csv,0.0013943221,6.854559999999992e-05,4.916052037043659
iTransformer,96,ETTm2,0.072146714,1501,ipmutual,0.0758165,0.0036697859999999943,4.840352693674853
iTransformer,192,ETTh2,0.18461345,1001,prollcov.csv,0.19396114,0.009347689999999992,4.819362270194943
iTransformer,96,Weather,0.0013288897,1501,iprollcorr.csv,0.0013943221,6.543239999999995e-05,4.692775076863513
iTransformer,96,ETTm2,0.072298765,501,pentropy.csv,0.0758165,0.003517734999999994,4.63980136250024
iTransformer,192,ETTm2,0.11466244,1001,iprollcov.csv,0.12018147,0.005519029999999994,4.592247041078791
iTransformer,96,Weather,0.0013306867,501,ipfarm.csv,0.0013943221,6.363539999999996e-05,4.563895243430478
TimeXer,96,ETTh2,0.13772123,1501,pfarm.csv,0.14430724,0.006586010000000003,4.563880509390938
iTransformer,96,Weather,0.0013307786,1251,prollcov.csv,0.0013943221,6.354350000000006e-05,4.557304226907116
iTransformer,96,ETTm2,0.07236734,1251,ipentropy.csv,0.0758165,0.003449159999999993,4.549352713459462
iTransformer,96,Weather,0.0013320518,1251,iprollcorr.csv,0.0013943221,6.22703e-05,4.46599103607409
iTransformer,192,ETTh2,0.18530121,751,prollcov.csv,0.19396114,0.00865993000000001,4.464775779313325
TimeXer,96,ETTh2,0.13788319,1251,prollcorr.csv,0.14430724,0.0064240500000000145,4.451647748234956
TimeXer,96,ETTh2,0.13789001,1501,prollcov.csv,0.14430724,0.006417229999999996,4.446921720628844
iTransformer,192,Weather,0.0015129161,501,prollcorr.csv,0.0015828296,6.991349999999996e-05,4.416994728933548
iTransformer,96,ETTm2,0.07250956,1501,pentropy.csv,0.0758165,0.0033069399999999943,4.3617682166810585
iTransformer,192,ETTh2,0.18578961,501,prollcov.csv,0.19396114,0.00817153000000001,4.212972763513356
iTransformer,192,ETTm2,0.115127675,1001,prollcorr.csv,0.12018147,0.005053795,4.2051366154865635
iTransformer,96,ETTm2,0.072648704,1251,prollcov.csv,0.0758165,0.0031677960000000005,4.178240884240239
iTransformer,96,ETTm2,0.07266418,501,ipentropy.csv,0.0758165,0.00315232,4.157828441038561
iTransformer,96,Weather,0.0013367725,1001,iprollcorr.csv,0.0013943221,5.754960000000004e-05,4.127425076314866
TimeXer,96,ETTh2,0.13845225,1001,pmutual,0.14430724,0.005854990000000004,4.0573085591547615
iTransformer,192,ETTh2,0.18612486,1501,pmutual,0.19396114,0.007836280000000001,4.040128862925842
iTransformer,96,ETTm2,0.0728432,1251,prollcorr.csv,0.0758165,0.002973299999999998,3.9217056973086315
iTransformer,192,ETTh2,0.18646243,1001,prollcorr.csv,0.19396114,0.007498709999999992,3.866088846456559
iTransformer,192,ETTh2,0.18646993,501,ipmutual,0.19396114,0.007491209999999998,3.86222209252843
iTransformer,192,ETTh2,0.18664193,1251,prollcov.csv,0.19396114,0.007319209999999993,3.7735445357765953
TimeXer,96,ETTh2,0.13890524,1501,prollcorr.csv,0.14430724,0.00540199999999999,3.743401924948457
iTransformer,96,ETTm2,0.07298131,1251,pmutual,0.0758165,0.0028351900000000013,3.7395421840892173
iTransformer,192,ETTh2,0.18671884,1501,prollcov.csv,0.19396114,0.007242300000000007,3.733892263161583
iTransformer,96,ETTh2,0.13199979,1251,prollcorr.csv,0.13711844,0.005118650000000002,3.7330135902946404
iTransformer,192,ETTh2,0.18675652,1251,pmutual,0.19396114,0.007204619999999995,3.714465691426641
iTransformer,96,ETTm2,0.073040724,1251,pentropy.csv,0.0758165,0.0027757759999999937,3.6611766567963353
iTransformer,96,ETTm2,0.073066555,501,ipmutual,0.0758165,0.0027499449999999898,3.627106236769028
iTransformer,96,Weather,0.0013444514,1251,pmutual,0.0013943221,4.987070000000006e-05,3.576698669554191
iTransformer,192,Weather,0.0015266644,1251,prollcorr.csv,0.0015828296,5.6165200000000016e-05,3.548404705092703
iTransformer,192,ETTm2,0.11597532,1251,pentropy.csv,0.12018147,0.004206149999999992,3.4998323784856282
iTransformer,192,ETTm2,0.115988865,1001,pmutual,0.12018147,0.004192605000000002,3.488561922233105
iTransformer,192,ETTm2,0.11600122,751,pentropy.csv,0.12018147,0.0041802499999999965,3.4782816352637367
iTransformer,192,ETTh2,0.18724482,751,prollcorr.csv,0.19396114,0.006716319999999998,3.462714232345715
iTransformer,96,Weather,0.0013461174,501,pmutual,0.0013943221,4.8204700000000064e-05,3.457214082743153
iTransformer,96,Weather,0.0013474997,751,ipfarm.csv,0.0013943221,4.6822399999999886e-05,3.3580763010211117
iTransformer,96,ETTh2,0.1325259,1501,pmutual,0.13711844,0.004592540000000006,3.3493234024541163
iTransformer,96,ETTm2,0.07328979,751,ipmutual,0.0758165,0.0025267100000000015,3.332665053121684
iTransformer,96,Weather,0.0013479175,1251,pfarm.csv,0.0013943221,4.640459999999988e-05,3.3281119190465303
iTransformer,192,ETTm2,0.116229065,501,ipentropy.csv,0.12018147,0.003952404999999992,3.288697500538138
iTransformer,192,Weather,0.0015308182,1501,prollcorr.csv,0.0015828296,5.201139999999995e-05,3.285975950917265
TimeXer,96,ETTh2,0.13966587,1251,iprollcorr.csv,0.14430724,0.004641370000000006,3.216311253683464
iTransformer,96,Weather,0.0013496596,1001,ipmutual,0.0013943221,4.4662499999999954e-05,3.2031694828619552
iTransformer,96,ETTm2,0.07346365,751,iprollcorr.csv,0.0758165,0.0023528499999999897,3.1033482157577703
iTransformer,192,ETTh2,0.18797532,1251,ipfarm.csv,0.19396114,0.005985820000000003,3.0860923997456413
iTransformer,96,Traffic,0.15160672,1001,iprollcorr.csv,0.15639566,0.0047889399999999915,3.0620670675899775
iTransformer,192,ETTh2,0.18809061,501,iprollcorr.csv,0.19396114,0.005870530000000013,3.0266526583623983
iTransformer,192,ETTh1,0.0703008,1251,pmutual,0.07248679,0.0021859899999999988,3.015708103504099
iTransformer,96,ETTm2,0.07353659,1001,pentropy.csv,0.0758165,0.002279909999999996,3.007142244762019
TimeXer,96,ETTh2,0.13997908,751,pmutual,0.14430724,0.0043281599999999976,2.9992673964244605
iTransformer,192,ETTh1,0.07036723,1501,pmutual,0.07248679,0.0021195599999999926,2.9240638190765416
iTransformer,192,Weather,0.0015375492,751,iprollcov.csv,0.0015828296,4.528039999999989e-05,2.8607248689309253
iTransformer,192,ETTm2,0.116747595,751,iprollcov.csv,0.12018147,0.003433875000000003,2.8572416363354542
iTransformer,96,Weather,0.0013544966,501,pentropy.csv,0.0013943221,3.9825500000000014e-05,2.8562625522467164
iTransformer,96,ETTh1,0.05703763,751,pmutual,0.058687977,0.0016503470000000034,2.8120700088196995
iTransformer,96,Weather,0.0013552767,1501,prollcov.csv,0.0013943221,3.904540000000006e-05,2.8003142172099302
TimeXer,96,Weather,0.0012973044,501,ipmutual,0.0013344327,3.712830000000009e-05,2.78232840067544
iTransformer,192,Weather,0.0015388869,751,prollcorr.csv,0.0015828296,4.394269999999996e-05,2.776211665488184
iTransformer,96,Weather,0.0013563125,1001,iprollcov.csv,0.0013943221,3.800959999999986e-05,2.7260272214002677
iTransformer,96,ETTh2,0.13339847,1251,prollcov.csv,0.13711844,0.003719970000000017,2.712961145123892
TimeXer,96,Traffic,0.16395408,501,iprollcorr.csv,0.1684373,0.00448322000000001,2.6616551084587616
iTransformer,192,Weather,0.0015411149,751,ipfarm.csv,0.0015828296,4.171470000000001e-05,2.635451093408918
TimeXer,96,ETTh2,0.14050493,751,prollcorr.csv,0.14430724,0.003802310000000003,2.6348712649483166
iTransformer,96,ETTm2,0.0738611,751,pentropy.csv,0.0758165,0.001955399999999996,2.5791219589403314
TimeXer,96,ETTm2,0.06609039,1251,pentropy.csv,0.06781768,0.0017272900000000063,2.5469612053965958
iTransformer,96,ETTm2,0.07391676,1501,ipentropy.csv,0.0758165,0.001899739999999997,2.5057078604261567
iTransformer,192,ETTm2,0.117174216,1001,pentropy.csv,0.12018147,0.003007254000000001,2.5022609558694873
iTransformer,192,ETTm2,0.11730139,1501,prollcorr.csv,0.12018147,0.002880079999999993,2.396442646274832
TimeXer,96,ETTh2,0.14085871,1251,iprollcov.csv,0.14430724,0.003448530000000005,2.3897137801263506
TimeXer,96,ETTm2,0.06619869,501,iprollcov.csv,0.06781768,0.0016189900000000007,2.387268334746928
iTransformer,192,ETTh2,0.18933229,751,pmutual,0.19396114,0.004628850000000018,2.386483189364642
TimeXer,96,ETTh1,0.055289656,751,pmutual,0.056639295,0.0013496389999999997,2.3828668771389188
TimeXer,96,ETTm2,0.066237,501,prollcorr.csv,0.06781768,0.001580680000000001,2.330778640614071
iTransformer,96,ETTh2,0.13395973,1001,pmutual,0.13711844,0.003158710000000009,2.303636184892425
iTransformer,96,Weather,0.001362582,1501,ipfarm.csv,0.0013943221,3.174009999999997e-05,2.2763821931819037
iTransformer,96,Weather,0.0013626365,1501,ipmutual,0.0013943221,3.1685600000000034e-05,2.272473483709398
iTransformer,192,ETTm2,0.117487356,1251,prollcorr.csv,0.12018147,0.0026941139999999975,2.2417049816415107
TimeXer,96,ETTh2,0.14109108,1001,prollcorr.csv,0.14430724,0.0032161599999999957,2.2286892882158895
TimeXer,96,ETTm2,0.06630753,501,ipfarm.csv,0.06781768,0.0015101500000000018,2.226779211556635
iTransformer,192,ETTm2,0.11750635,501,pentropy.csv,0.12018147,0.002675120000000003,2.225900548562106
TimeXer,96,ETTm2,0.06631464,1251,iprollcorr.csv,0.06781768,0.001503040000000011,2.2162952197716157
iTransformer,96,Traffic,0.15304115,751,iprollcorr.csv,0.15639566,0.003354510000000005,2.1448868849685505
iTransformer,96,Weather,0.0013645395,1001,prollcov.csv,0.0013943221,2.9782599999999887e-05,2.1359913896509197
TimeXer,96,Traffic,0.16489352,751,iprollcorr.csv,0.1684373,0.003543780000000024,2.103916412813566
iTransformer,96,ECL,0.2729548,1501,pmutual,0.2787739,0.0058191000000000215,2.0873905340492853
TimeXer,96,ETTm2,0.06640703,1501,iprollcorr.csv,0.06781768,0.0014106499999999994,2.0800623082358456
TimeXer,96,ETTh2,0.14131117,1501,iprollcorr.csv,0.14430724,0.0029960699999999896,2.0761744178601083
TimeXer,96,ETTh2,0.14132507,751,prollcov.csv,0.14430724,0.002982170000000006,2.0665421915075126
iTransformer,192,ETTm2,0.11774021,751,prollcorr.csv,0.12018147,0.0024412600000000007,2.031311482543857
iTransformer,96,ETTh2,0.1343374,1501,prollcorr.csv,0.13711844,0.0027810400000000124,2.02820277126841
iTransformer,192,ETTm2,0.11775566,501,prollcov.csv,0.12018147,0.0024258100000000005,2.018455923363228
iTransformer,192,Weather,0.0015511942,1001,iprollcov.csv,0.0015828296,3.1635400000000046e-05,1.998661131937389
iTransformer,192,ETTh2,0.19016244,501,prollcorr.csv,0.19396114,0.003798700000000016,1.9584850862394476
iTransformer,192,ETTh1,0.07107834,751,pmutual,0.07248679,0.0014084499999999917,1.9430436911332283
iTransformer,192,ETTm2,0.117874615,1501,ipfarm.csv,0.12018147,0.0023068549999999965,1.919476438422659
iTransformer,96,Weather,0.0013676045,1251,iprollcov.csv,0.0013943221,2.6717599999999874e-05,1.9161713064721468
iTransformer,96,Weather,0.0013676352,501,ipmutual,0.0013943221,2.668690000000003e-05,1.9139695196683773
iTransformer,192,ETTh2,0.19026737,1501,ipmutual,0.19396114,0.003693770000000013,1.9043866209489244
iTransformer,96,Weather,0.001367811,1501,pmutual,0.0013943221,2.651109999999993e-05,1.9013612421405306
iTransformer,192,ETTh2,0.19030596,1251,iprollcov.csv,0.19396114,0.003655180000000008,1.8844908830707057
TimeXer,96,ETTh2,0.14160673,751,pfarm.csv,0.14430724,0.002700510000000017,1.8713614091711663
iTransformer,192,ETTh2,0.1903669,1251,iprollcorr.csv,0.19396114,0.0035942399999999985,1.8530722184866506
iTransformer,192,ETTm2,0.11796548,1001,ipentropy.csv,0.12018147,0.002215990000000001,1.8438699410150343
TimeXer,96,ETTm2,0.06658026,1251,pfarm.csv,0.06781768,0.001237420000000003,1.8246274422834912
TimeXer,96,Traffic,0.16537648,1251,iprollcorr.csv,0.1684373,0.0030608200000000196,1.8171865732827701
TimeXer,96,ETTh2,0.14170404,1501,iprollcov.csv,0.14430724,0.0026032,1.803928895043658
TimeXer,96,ETTm2,0.06660671,1501,ipmutual,0.06781768,0.0012109700000000057,1.7856258132097786
